Age,Income,EducationLevel,HasPartner,TotalChildren,TotalSpend,TotalPurchases,MntWines,MntMeatProducts,MntGoldProds,NumWebVisitsMonth,NumDealsPurchases,CustomerDays,Recency,PrevCampaignsAccepted,Complain,Response
76,70666.0,2,1,0,1076,15,398,367,30,4,1,3678,29,0,0,0
53,25721.0,2,1,1,34,4,1,6,15,7,1,3877,75,0,0,1
57,32474.0,2,1,2,11,3,10,1,0,7,1,3522,0,0,0,0
45,88194.0,1,0,1,1274,31,688,309,38,5,1,3575,19,2,0,1
66,69096.0,2,1,1,653,17,247,159,109,4,1,3748,4,0,0,0
54,74854.0,2,1,3,1562,12,856,487,73,5,7,3920,90,0,0,0
70,66991.0,3,1,0,1253,18,496,460,12,3,3,4129,1,0,0,0
51,51373.0,1,1,1,109,6,25,43,17,8,3,4126,25,0,0,0
65,65031.0,2,1,1,863,26,258,291,86,7,4,3942,29,0,0,0
49,60631.0,4,1,2,661,19,565,65,19,7,5,3923,88,1,0,0
72,28332.0,2,1,0,65,7,14,13,9,2,1,3533,58,0,0,0
47,40246.0,2,0,1,13,3,2,6,1,6,1,4030,68,0,0,0
52,75251.0,3,1,0,1890,18,721,925,18,5,1,4144,34,0,0,1
48,75825.0,2,0,0,2209,22,1032,779,51,4,0,4098,40,1,0,1
48,26326.0,1,1,0,18,3,1,5,9,3,1,3771,12,0,1,0
59,56046.0,2,1,0,692,19,577,64,51,8,2,4016,9,1,0,1
39,29760.0,2,0,1,165,8,64,68,17,8,4,4142,87,0,0,0
55,26304.0,2,1,1,16,3,4,5,4,7,1,3844,5,0,0,0
51,23559.0,1,1,1,79,6,25,19,23,7,3,3834,87,0,0,0
61,38620.0,3,1,0,318,10,112,44,89,3,1,3887,56,0,0,0
37,81361.0,2,0,0,778,26,163,424,76,1,1,3597,18,0,0,0
64,29440.0,2,1,2,56,5,17,14,3,7,2,3795,95,0,0,0
54,36138.0,3,1,2,151,8,130,16,5,7,5,3821,48,1,0,0
67,50388.0,2,0,1,372,13,292,37,34,7,4,3505,3,2,0,1
51,79593.0,2,1,0,1366,18,350,568,145,2,1,3521,70,1,0,0
57,54178.0,2,1,1,194,9,135,39,7,2,1,3632,79,0,0,0
67,51373.0,4,1,3,603,17,230,192,53,9,12,4060,4,0,0,0
67,51373.0,2,0,2,18,3,7,8,1,7,1,3506,45,0,0,0
51,51373.0,3,1,0,985,14,445,359,18,1,1,3691,87,0,0,0
52,42394.0,3,0,1,32,4,15,10,4,7,1,3571,69,0,0,0
54,23626.0,4,1,1,43,7,27,14,0,5,3,3509,84,0,0,0
41,30096.0,2,1,1,45,5,5,11,9,6,1,3511,30,0,0,0
64,47916.0,2,0,1,606,17,505,26,75,6,5,4057,72,1,0,0
52,51813.0,2,0,2,63,5,51,7,2,7,2,3917,37,0,0,0
73,78497.0,1,1,0,978,24,207,447,223,2,1,3683,44,1,0,0
41,50150.0,4,1,0,410,14,135,92,11,5,2,3847,32,0,0,0
64,47823.0,1,0,1,72,5,53,5,10,8,2,3814,0,0,0,0
65,34554.0,4,0,1,55,5,41,6,5,6,2,3564,43,0,0,0
45,85693.0,2,1,1,1169,25,386,183,111,5,2,3908,59,0,0,0
79,65846.0,4,1,0,1120,15,562,276,81,4,1,3881,68,0,0,0
65,87195.0,2,1,0,1097,19,217,690,38,1,1,3525,35,0,0,1
45,24594.0,0,1,1,29,4,1,6,9,5,1,3674,94,0,0,0
60,49096.0,2,1,2,187,9,144,32,7,7,4,3751,15,0,0,0
55,52413.0,2,1,2,910,22,295,271,65,6,4,3985,56,0,0,0
46,38557.0,2,0,1,145,7,76,31,27,7,2,4030,17,0,0,0
64,89058.0,3,1,0,850,13,454,106,43,2,1,4042,18,0,0,0
45,77298.0,2,1,1,969,23,425,292,79,3,1,3712,46,0,0,0
33,68126.0,4,0,0,1820,16,1332,311,86,9,1,4069,40,1,0,1
61,57288.0,3,1,1,608,17,527,21,60,6,3,3477,27,1,0,0
33,86037.0,2,0,0,730,24,490,125,22,3,1,4016,95,2,0,1
44,43974.0,4,1,1,551,16,378,101,72,7,5,4037,19,0,0,0
62,50785.0,2,0,2,114,6,64,21,27,6,2,3765,27,0,0,0
54,90765.0,2,1,0,1724,15,547,812,33,1,0,3629,25,2,0,0
46,36550.0,1,1,1,577,15,47,94,120,9,5,3968,74,0,0,0
57,30753.0,1,1,2,81,5,12,25,30,5,2,3826,85,0,0,0
55,21918.0,2,1,1,33,5,1,7,3,6,2,3700,37,0,0,0
71,56129.0,3,1,1,660,18,320,133,48,4,4,3847,65,0,0,0
57,32557.0,3,0,1,80,6,34,29,10,5,3,3598,13,0,0,1
39,19510.0,3,1,2,30,4,9,7,7,7,2,3771,63,0,0,0
48,30992.0,2,0,1,43,4,17,14,2,7,1,3906,83,0,0,0
41,101970.0,2,0,0,1135,27,722,102,168,2,0,3947,69,3,0,1
59,71488.0,1,1,0,559,14,162,124,172,1,2,3969,87,0,0,0
40,79607.0,2,0,0,1923,15,450,951,216,1,1,3907,37,0,0,1
71,54348.0,3,1,2,90,6,70,16,4,6,2,3494,51,0,0,0
63,51373.0,4,1,1,404,14,352,27,15,6,3,3826,23,0,0,0
68,77376.0,4,1,2,661,19,492,110,12,4,4,3523,72,0,0,0
72,62998.0,2,1,1,463,14,120,73,58,5,5,3745,10,0,0,0
66,61331.0,3,0,2,632,18,534,47,41,8,5,3949,42,0,0,0
55,73448.0,2,1,0,725,18,236,189,130,4,1,3612,10,0,0,0
61,51373.0,2,1,1,725,18,231,196,124,4,1,3795,96,0,0,0
60,41551.0,4,1,2,279,11,220,33,23,8,5,3792,51,0,0,0
57,62981.0,4,1,0,1482,22,796,590,0,3,1,3942,21,1,0,0
48,9548.0,0,0,1,29,4,0,3,9,8,2,4163,31,0,0,0
65,33762.0,4,1,3,106,6,53,34,16,8,3,3830,61,0,0,0
51,35860.0,4,0,2,49,4,15,8,20,5,2,3514,37,1,0,1
59,36921.0,4,0,2,38,5,17,12,4,7,2,3809,74,0,0,0
32,92859.0,3,0,0,2077,21,962,921,20,2,1,4091,46,0,0,0
48,65104.0,3,1,1,1053,15,738,232,50,7,2,3700,4,0,0,1
62,86111.0,2,1,0,1385,22,399,756,126,2,1,3909,73,0,0,0
50,68352.0,4,0,1,871,22,614,132,33,6,3,3778,47,0,0,0
36,41883.0,2,1,1,312,9,32,41,116,7,3,3940,13,0,0,0
48,59809.0,2,1,2,877,12,598,141,49,8,3,4092,36,0,0,0
49,23957.0,2,1,1,68,5,2,18,16,6,1,4082,47,0,0,1
43,38547.0,2,1,1,22,3,6,10,4,8,1,3778,49,0,1,0
51,35688.0,1,1,3,211,9,73,90,32,8,7,4149,94,0,0,0
58,49605.0,3,1,0,127,7,42,29,8,3,1,3481,65,0,0,0
71,59354.0,3,1,2,459,15,295,78,13,3,1,3539,59,0,0,0
55,65747.0,2,1,1,460,15,346,48,13,6,4,3587,96,1,0,0
52,46344.0,1,1,1,429,13,233,57,91,7,4,4035,28,0,0,0
36,34176.0,2,0,1,89,7,5,24,20,6,4,3521,12,0,0,0
72,61010.0,4,1,1,1021,24,888,57,76,5,2,4101,57,0,0,0
75,69372.0,2,1,0,1381,20,997,269,42,4,1,3968,10,2,0,1
66,49967.0,2,0,1,306,12,212,69,3,7,3,3829,4,0,0,0
46,60199.0,2,0,3,18,3,8,7,0,4,1,3763,49,0,0,0
47,55375.0,2,1,1,162,8,42,57,14,2,1,3728,3,0,0,0
69,80317.0,2,0,0,1231,17,536,387,57,1,1,3786,64,0,0,0
66,30523.0,3,0,3,13,3,5,3,5,7,1,3836,0,0,0,0
79,70356.0,4,1,0,1706,25,1349,249,33,6,2,4074,20,0,0,0
40,23228.0,2,1,1,121,7,53,49,5,8,4,3648,91,0,0,0
49,74165.0,4,0,0,1293,19,1001,240,12,2,1,3897,9,0,0,0
51,157243.0,4,1,1,1608,22,20,1582,1,0,15,3593,98,0,0,0
58,43482.0,2,1,3,88,6,18,32,28,6,3,3701,83,0,0,0
71,62551.0,2,0,0,421,17,125,98,27,3,1,3696,27,1,0,0
65,52332.0,2,0,0,259,11,212,33,2,4,1,3778,63,1,0,0
36,66951.0,2,0,0,1117,14,277,305,124,1,1,3712,46,0,0,0
67,26091.0,2,1,2,89,6,15,19,20,5,3,3597,84,0,0,0
59,33456.0,2,1,2,36,4,7,10,7,7,2,3542,58,0,0,0
42,28718.0,2,1,1,57,5,12,6,16,8,2,3824,78,0,0,0
54,50447.0,2,1,2,148,7,85,24,27,6,1,3542,4,0,0,0
65,53537.0,4,1,2,93,6,81,6,6,5,2,3623,17,0,0,0
57,52074.0,2,0,1,119,6,59,12,48,4,1,3559,77,1,0,0
49,80427.0,4,1,1,1835,27,1149,449,26,5,1,4128,56,0,0,0
76,83837.0,4,1,0,1318,24,847,119,111,4,1,4033,79,2,0,1
54,38853.0,4,1,2,45,5,29,14,2,7,2,3510,90,0,0,0
65,38285.0,2,1,3,10,3,2,5,1,2,1,3478,96,0,0,0
73,78497.0,1,1,0,978,24,207,447,223,2,1,3683,44,1,0,0
48,51650.0,4,1,1,191,9,152,22,7,5,1,3522,81,0,0,0
36,16248.0,1,1,1,57,6,12,10,9,6,3,3523,77,0,0,0
78,66835.0,3,1,0,1033,23,620,195,141,2,1,3747,21,0,0,0
40,30477.0,3,1,1,66,5,47,6,12,6,1,3631,16,0,0,0
63,28249.0,0,1,0,43,5,1,7,10,6,1,3487,80,0,0,0
41,25271.0,2,1,1,50,4,10,18,7,9,1,4044,45,0,0,0
54,32303.0,4,0,1,39,5,35,2,2,5,2,3586,63,0,0,0
58,61286.0,2,1,1,608,16,356,107,117,5,2,3804,34,0,0,0
48,74068.0,2,1,0,1581,23,783,537,15,2,1,3940,14,0,0,0
60,45759.0,4,1,2,68,5,42,18,4,7,2,3964,13,0,0,0
46,24882.0,0,1,1,80,4,1,10,36,6,1,4131,52,1,0,0
35,66973.0,4,1,0,1282,27,466,432,102,3,1,3881,98,0,0,0
36,38872.0,2,1,1,91,6,23,21,22,8,2,3868,93,0,0,0
51,51148.0,2,1,2,315,12,235,45,12,6,4,3969,38,0,0,0
47,31353.0,2,1,2,31,4,10,10,7,8,2,3655,24,0,0,0
44,69661.0,3,1,0,834,22,656,106,8,3,1,3520,80,0,0,0
70,80067.0,2,1,0,1600,16,519,813,51,2,1,3756,82,1,0,0
70,86718.0,2,1,0,1270,16,344,482,172,2,1,4001,20,0,0,0
51,46854.0,4,0,2,263,9,96,79,79,8,6,3563,81,1,0,1
72,69142.0,2,0,1,535,16,448,34,39,5,3,3473,50,1,0,0
56,75922.0,2,0,0,1295,17,265,553,92,1,1,3675,60,0,0,0
46,63693.0,2,0,1,1150,26,587,337,54,6,3,3731,63,0,0,0
47,102160.0,4,1,0,1240,26,763,138,58,4,0,4077,54,3,0,1
59,40637.0,4,0,2,38,4,22,13,3,7,2,3820,72,0,0,0
40,18890.0,3,0,0,35,3,6,1,15,6,1,4069,5,1,0,1
36,29604.0,2,1,1,53,4,7,13,14,9,1,3676,88,1,0,0
61,48721.0,3,0,2,293,11,81,113,21,6,6,3885,50,0,0,0
58,44794.0,2,1,1,65,5,54,7,4,6,1,3494,99,0,0,0
70,64497.0,2,0,1,1804,24,1170,320,192,8,5,4130,17,1,0,1
68,46097.0,2,1,1,241,10,72,68,8,4,5,3928,11,0,0,0
70,77972.0,2,1,0,1101,19,613,319,12,1,1,3576,18,0,0,0
56,44377.0,4,1,2,264,11,224,30,10,8,8,4105,70,0,0,0
50,46014.0,3,1,2,541,16,410,59,44,7,10,3997,21,0,0,0
39,70951.0,2,1,0,1198,16,239,554,54,1,1,3894,66,0,0,0
47,41443.0,2,1,1,482,14,171,171,89,8,6,3562,79,0,0,0
46,52195.0,1,0,3,17,3,12,4,1,8,1,3521,2,0,0,0
76,83790.0,3,1,0,1615,24,1076,417,16,3,1,3699,81,2,0,0
70,44551.0,3,0,1,285,10,182,33,66,7,2,3775,24,0,0,0
44,69508.0,2,1,1,1135,26,824,162,43,6,2,4065,48,0,0,0
36,45204.0,1,1,1,114,6,30,25,18,3,1,3552,93,0,0,0
55,72460.0,2,1,0,1047,15,377,540,10,1,1,3700,56,0,0,0
54,77622.0,4,1,2,714,20,520,154,14,3,2,3549,3,0,0,0
44,30732.0,4,1,1,185,9,155,25,3,8,4,4013,44,0,0,0
62,63887.0,2,0,1,1245,27,897,207,92,6,5,4132,38,0,0,0
46,42011.0,2,1,1,189,8,131,16,39,8,4,3933,46,0,0,0
48,51369.0,2,1,1,576,14,297,79,182,8,2,4085,84,0,0,0
72,51537.0,2,0,1,1103,15,787,204,92,8,3,4040,27,0,0,0
52,79930.0,4,1,0,1753,16,792,740,17,2,1,4163,72,0,0,0
38,34320.0,4,1,1,17,3,4,9,0,8,1,3606,66,0,0,0
58,37070.0,2,0,2,433,14,231,137,39,7,9,3939,30,0,0,1
62,81975.0,1,0,1,1588,13,983,184,27,7,1,4013,2,1,0,0
53,38590.0,2,1,1,22,3,3,8,3,8,1,3883,65,0,0,0
73,15033.0,2,0,0,19,4,0,5,4,3,1,3547,37,0,0,0
59,62745.0,4,1,1,1117,26,562,464,32,5,3,3936,89,0,0,0
49,22212.0,1,1,1,69,6,5,20,21,6,2,3675,49,0,0,0
42,23661.0,3,1,1,23,4,18,4,1,7,1,3680,46,0,0,0
66,79761.0,4,0,1,605,18,415,124,11,3,1,3741,32,0,0,0
51,7500.0,2,0,1,57,7,5,10,20,7,4,3658,54,0,0,0
56,73455.0,2,0,0,2088,21,901,757,20,3,1,3717,98,1,0,0
66,64961.0,2,1,1,1009,14,382,276,38,3,2,4026,97,0,0,0
53,22804.0,2,0,1,26,4,14,7,1,9,1,3806,75,0,0,0
34,73687.0,2,1,0,1627,21,559,503,181,2,1,3686,8,1,0,1
66,61074.0,2,1,1,1102,24,789,133,152,7,7,4154,37,0,0,0
60,31686.0,4,1,2,17,4,11,5,1,6,2,3497,31,0,0,0
52,80134.0,2,1,1,1690,14,1218,272,80,6,2,3878,40,3,0,1
71,75027.0,2,1,1,1390,19,925,179,77,5,2,4009,74,0,0,0
36,67546.0,4,1,0,2126,19,864,768,172,3,1,4140,90,0,0,0
55,65176.0,3,1,1,1531,21,960,183,70,6,4,4081,57,0,0,0
49,31160.0,3,0,1,64,5,16,25,13,8,2,3759,59,0,0,0
39,29938.0,2,0,1,26,4,3,7,11,6,2,3718,52,0,0,0
50,102692.0,2,0,0,1112,28,168,444,148,2,1,3923,5,4,0,1
66,26490.0,1,1,0,210,9,45,52,25,6,2,4118,92,0,0,0
57,75702.0,2,1,2,1148,21,650,353,30,8,5,4142,77,0,0,0
50,30899.0,4,0,1,33,4,24,8,1,6,2,4097,35,0,0,0
63,63342.0,4,1,1,1101,16,918,118,21,6,3,4094,48,1,0,0
60,45989.0,2,0,1,322,12,138,87,12,3,4,4088,97,0,0,0
60,18701.0,2,0,2,44,6,12,2,10,5,4,3863,95,0,0,0
67,40737.0,4,0,3,17,3,11,4,2,8,1,3676,24,0,0,0
45,15287.0,2,0,1,31,4,1,8,13,7,2,4100,60,1,0,1
56,69674.0,4,0,2,845,22,554,215,24,5,3,3876,46,0,0,0
54,44159.0,3,1,1,275,11,167,62,7,5,4,3485,85,0,0,0
46,37717.0,4,1,1,25,3,9,6,5,9,1,4056,31,0,0,0
72,43776.0,3,1,2,275,11,177,71,20,8,6,3984,9,0,0,1
58,38179.0,3,1,2,90,7,38,22,20,7,4,3945,30,0,0,0
61,80124.0,2,1,0,1495,18,483,398,241,1,1,3476,47,1,0,0
54,38097.0,4,1,2,184,7,77,35,69,7,4,4095,70,1,0,1
54,72940.0,2,1,0,981,12,182,298,116,1,1,3848,13,0,0,0
54,22070.0,2,1,1,67,6,10,19,21,6,2,3741,11,0,0,0
71,69267.0,2,0,0,1635,12,778,499,146,7,2,4118,31,0,0,1
41,31788.0,3,0,1,60,7,16,23,6,5,3,3574,15,0,1,0
49,61905.0,4,1,1,231,10,167,43,13,5,2,3618,2,0,0,0
64,29315.0,2,1,2,48,6,13,14,4,6,4,3557,55,0,0,0
61,33378.0,2,0,2,99,6,33,40,10,7,3,3981,38,0,0,0
61,66313.0,4,1,1,770,21,625,99,7,4,2,3759,86,0,0,0
68,60714.0,2,0,0,957,21,216,224,162,5,2,4001,56,0,0,1
43,77882.0,3,1,0,818,11,68,396,15,1,1,3533,29,0,0,0
38,69867.0,4,0,0,925,16,196,512,54,1,1,3926,30,1,0,1
56,63841.0,3,0,1,908,21,635,100,131,6,1,3907,64,0,0,0
43,24480.0,0,1,1,102,7,4,9,17,7,3,3976,46,0,0,0
48,51369.0,2,1,1,576,14,297,79,182,8,2,4085,84,0,0,0
78,37760.0,2,1,0,317,11,84,38,28,7,2,4140,20,0,0,0
50,65640.0,4,1,1,461,14,204,149,66,2,1,3593,74,0,0,0
49,44319.0,3,1,2,37,5,26,8,3,5,2,3546,18,0,0,0
50,30631.0,2,1,1,70,6,15,20,20,7,1,3825,75,0,0,0
72,75278.0,2,1,0,930,22,304,230,74,3,1,3989,17,0,0,0
68,50898.0,3,1,2,859,20,285,242,135,5,13,4010,88,0,0,0
58,79946.0,2,0,0,1478,21,395,565,28,3,1,3521,19,0,0,0
75,35416.0,3,0,0,390,13,248,81,51,8,3,3854,62,0,0,0
40,32414.0,1,1,0,52,4,20,5,12,7,1,3833,11,1,0,0
55,38361.0,2,1,1,137,7,39,56,14,7,3,3657,74,0,0,0
44,82497.0,2,1,0,1919,18,777,573,203,4,1,4079,32,1,0,0
53,16626.0,2,1,2,68,6,8,22,13,9,3,3638,76,0,0,0
59,29672.0,2,1,2,25,3,9,3,8,6,1,3947,6,0,0,0
72,55951.0,3,1,1,1374,20,1241,80,40,8,3,4148,62,2,0,0
36,35388.0,1,0,1,32,4,6,7,8,7,1,3952,20,0,0,0
38,42386.0,3,1,1,100,6,65,16,11,8,1,4005,43,0,0,0
42,68627.0,2,0,0,825,11,395,263,38,1,1,4006,45,0,0,0
59,57912.0,4,0,1,916,23,801,80,35,5,5,3577,34,1,0,0
66,35246.0,2,0,2,62,7,36,12,10,5,4,3547,53,0,0,0
68,58821.0,1,1,1,728,20,513,154,28,6,1,3733,44,0,0,0
46,46377.0,4,1,1,90,6,37,46,0,4,1,3593,89,0,0,0
36,39747.0,2,0,1,273,10,80,93,52,8,3,3550,43,0,0,0
40,23976.0,2,1,1,66,7,14,21,25,7,3,3657,68,0,0,0
63,80950.0,3,1,0,1213,22,525,112,63,2,1,3931,44,1,0,0
58,27038.0,2,0,0,107,6,1,25,15,9,1,4122,64,0,0,1
77,77457.0,2,0,0,1157,17,675,400,11,1,1,3589,85,1,0,0
60,64100.0,3,1,1,546,17,509,27,10,7,1,3765,93,1,0,0
32,42670.0,3,1,0,241,10,154,46,15,4,1,3901,12,0,0,0
48,12571.0,2,0,1,53,7,3,14,17,6,4,3635,86,0,0,0
57,22574.0,2,1,3,37,5,25,8,2,7,2,3717,28,0,0,0
35,51373.0,2,1,0,1611,23,861,461,61,3,1,3864,69,2,0,0
48,70893.0,3,0,0,1508,22,768,561,14,3,1,3981,42,0,0,0
58,54198.0,2,1,2,235,10,185,28,17,4,6,3667,13,0,0,0
68,28839.0,3,1,2,32,5,24,7,1,5,2,3583,86,0,0,0
52,40321.0,2,1,2,102,6,44,21,27,7,2,3808,59,0,0,0
39,66503.0,2,0,1,401,13,91,128,50,3,2,4157,30,0,0,0
73,30833.0,2,1,2,28,4,11,7,6,5,2,3821,33,0,0,0
54,51373.0,2,0,3,1052,15,738,172,20,7,6,3783,67,2,0,0
53,64795.0,2,1,1,680,18,412,119,77,2,3,4001,23,0,0,0
50,34421.0,2,1,1,30,3,3,7,9,7,1,3836,81,0,0,0
59,47025.0,4,0,2,20,3,16,3,1,7,1,3613,6,0,0,0
63,64325.0,4,0,1,1307,18,731,353,73,7,5,3980,41,0,0,0
71,40464.0,2,0,1,630,18,424,118,41,8,6,4007,78,0,0,0
67,62187.0,2,1,0,1283,17,792,275,126,3,1,3832,49,0,0,0
48,14849.0,4,0,1,65,6,21,28,9,8,3,3835,39,0,0,0
40,27255.0,2,1,1,37,4,22,11,2,7,1,3707,3,0,0,0
74,54432.0,4,1,3,38,4,33,5,0,4,1,3889,37,0,0,0
38,29999.0,4,0,1,160,8,68,59,11,8,4,3974,22,0,0,0
41,24072.0,2,0,1,23,3,9,6,4,8,1,3912,79,0,0,0
35,33996.0,4,0,0,71,5,40,15,6,4,1,3764,46,0,0,0
68,66334.0,4,1,1,1161,17,909,218,23,5,2,3925,82,0,0,1
53,35178.0,3,1,1,59,4,23,13,18,7,1,4008,10,1,0,1
41,22010.0,2,1,1,33,5,11,9,8,8,2,3837,51,0,0,0
64,62204.0,2,0,2,946,21,317,247,139,3,1,4128,38,0,0,0
56,75693.0,2,0,0,1442,21,797,293,30,4,1,4043,10,3,0,1
52,30675.0,2,1,1,62,4,10,16,21,8,1,4067,14,0,0,0
59,83003.0,2,1,0,1674,21,856,570,122,3,1,3956,18,1,0,1
36,68655.0,2,0,0,1538,20,456,832,38,3,1,4161,95,0,0,0
38,41411.0,2,0,0,139,7,37,38,18,6,1,3677,11,0,0,0
55,55212.0,4,1,1,1182,17,1103,45,34,8,3,4056,65,2,0,0
74,59292.0,4,1,1,507,16,378,68,14,3,2,3854,71,0,0,0
51,27190.0,0,1,1,18,3,1,7,3,8,1,3791,13,1,0,1
72,82623.0,2,0,0,940,15,204,204,173,1,1,3704,58,0,0,0
59,44300.0,2,1,2,42,4,30,9,3,6,2,3844,65,0,0,0
54,84835.0,2,0,0,1190,14,189,379,218,1,1,3486,0,0,0,1
53,30372.0,2,0,2,44,5,15,12,7,7,3,4024,33,0,0,0
48,33181.0,3,1,1,16,3,9,3,4,6,1,3650,90,1,0,0
67,71113.0,2,1,1,835,22,495,255,8,4,4,3667,95,0,0,0
38,71952.0,2,1,1,1443,20,656,455,93,4,2,4008,93,2,0,0
58,69759.0,4,0,0,1029,15,452,514,0,3,3,3717,38,0,0,1
50,72099.0,2,1,0,1188,17,546,410,22,1,1,4083,18,0,0,0
48,60000.0,4,0,1,1277,19,1048,217,12,6,5,4027,57,0,0,0
46,38643.0,2,0,2,49,5,22,14,10,7,2,3685,45,0,1,0
69,50737.0,2,1,1,99,6,78,11,10,6,1,3887,61,1,0,0
55,68462.0,4,1,0,1670,14,561,785,48,1,1,4037,6,0,0,0
81,65073.0,3,1,0,900,13,629,177,8,2,1,3786,65,0,1,0
76,46681.0,4,1,2,425,14,269,69,38,5,2,3737,52,0,0,0
67,78618.0,2,1,0,2153,21,736,818,61,2,1,4112,87,1,0,0
55,62187.0,4,0,1,636,18,512,83,41,4,3,3572,38,0,0,0
