id_estudiante,periodo_ingreso,carrera,provincia,zona_residencia,sexo,edad,estado_civil,tipo_colegio,financiamiento,modalidad,semestre_actual,promedio_bachillerato,nota_primer_ciclo,creditos_reprobados,num_materias_matriculadas,asistencia_pct,horas_trabajo_semana,distancia_universidad_km,num_hermanos,ingreso_familiar_usd,uso_tutoria,indice_satisfaccion,desercion_semestre,fecha_ultimo_pago,motivo_retiro,semestre_desercion
EST-2021-0013,2022-S2,Ciencia de Datos,Tungurahua,Urbana,F,19,Casado/a,Particular,Beca completa,Presencial,2,6.96,8.16,0,8,94.0,0.0,21.8,0,422.0,3,5.0,0,,,
EST-2022-0014,2023-S1,Medicina,El Oro,Urbana,F,24,Soltero/a,Particular,Beca parcial,Presencial,5,6.96,8.76,2,8,69.1,11.0,1.2,1,258.0,3,6.4,0,,,
EST-2023-0015,2022-S1,Contabilidad,Azuay,Urbana,F,17,Soltero/a,Fiscal,Recursos propios,Presencial,6,6.94,7.54,0,7,59.6,17.0,3.7,2,1032.0,1,6.9,1,2024-02-21,Academico,7.0
EST-2024-0016,2023-S1,Psicología,Guayas,Rural,M,21,Soltero/a,Fiscal,Credito educativo,Semi-presencial,2,8.24,,0,8,68.3,44.0,38.5,2,2151.0,4,5.7,0,,,
EST-2025-0017,2022-S2,Derecho,Guayas,Rural,M,20,Soltero/a,Fiscal,Beca completa,Presencial,6,8.02,8.09,1,6,70.9,0.0,5.4,0,798.0,3,7.7,0,,,
EST-2020-0018,2022-S2,Ingeniería Civil,Pichincha,Rural,F,19,Soltero/a,Fiscomisional,Recursos propios,Presencial,4,9.1,7.89,1,4,61.0,12.0,12.2,0,574.0,4,6.4,0,,,
EST-2021-0019,2022-S2,Administración de Empresas,Imbabura,Rural,M,23,Soltero/a,Particular,Recursos propios,Presencial,1,7.62,3.26,1,5,96.7,0.0,14.8,1,638.0,2,8.5,0,,,
EST-2022-0020,2022-S1,Arquitectura,Tungurahua,Rural,M,18,Casado/a,Fiscal,Credito educativo,Presencial,1,9.12,7.69,2,6,85.5,0.0,1.7,0,637.0,4,,0,,,
EST-2023-0021,2022-S1,Ingeniería Civil,Pichincha,Urbana,F,25,Soltero/a,Particular,Beca parcial,Presencial,1,8.54,6.12,1,5,79.9,0.0,11.1,0,453.0,3,7.5,0,,,
EST-2024-0022,2023-S2,Arquitectura,Imbabura,Urbana,M,27,Soltero/a,Fiscal,Recursos propios,Semi-presencial,2,8.86,8.53,1,5,48.3,0.0,20.2,4,476.0,2,4.5,0,,,
EST-2025-0023,2022-S2,Arquitectura,Guayas,Rural,F,19,Soltero/a,Particular,Beca parcial,Semi-presencial,1,9.22,5.3,1,8,75.1,0.0,56.9,1,684.0,4,7.0,0,,,
EST-2020-0024,2022-S1,Ciencia de Datos,Chimborazo,Rural,F,26,Casado/a,Fiscal,Credito educativo,Semi-presencial,2,8.62,5.23,0,5,98.2,21.0,4.0,3,643.0,1,8.5,0,,,
EST-2021-0025,2023-S2,Administración de Empresas,Guayas,Rural,F,17,Casado/a,Particular,Recursos propios,Semi-presencial,5,8.64,5.66,2,8,63.0,11.0,22.5,4,341.0,0,1.8,1,2024-01-12,Laboral,6.0
EST-2022-0026,2022-S1,Ingeniería Civil,Chimborazo,Rural,F,25,Soltero/a,Fiscal,Credito educativo,Presencial,1,7.41,8.09,1,6,83.4,0.0,12.2,1,456.0,5,5.7,0,,,
EST-2023-0027,2023-S1,Contabilidad,Guayas,Urbana,M,25,Soltero/a,Fiscal,Beca completa,Semi-presencial,4,8.19,6.49,2,6,51.4,0.0,2.4,1,1182.0,2,3.7,0,,,
EST-2024-0028,2022-S2,Administración de Empresas,Pichincha,Urbana,F,23,Casado/a,Fiscal,Beca completa,Presencial,1,7.14,5.15,4,5,89.1,0.0,12.3,0,675.0,5,,0,,,
EST-2025-0029,2023-S1,Ciencia de Datos,Manabí,Urbana,M,27,Soltero/a,Particular,Beca parcial,Semi-presencial,2,5.8,8.84,0,4,68.6,17.0,8.6,3,1008.0,4,6.2,0,,,
EST-2020-0030,2023-S2,Derecho,Imbabura,Rural,F,20,Casado/a,Fiscal,Recursos propios,Presencial,5,5.94,6.98,2,7,81.6,0.0,2.7,2,1090.0,5,3.4,1,2024-08-27,Academico,5.0
EST-2021-0031,2022-S1,Ingeniería Civil,Pichincha,Urbana,M,26,Casado/a,Fiscal,Recursos propios,Semi-presencial,6,8.92,10.0,0,5,65.5,0.0,12.4,0,927.0,5,7.7,0,,,
EST-2022-0032,2022-S1,Ciencia de Datos,Guayas,Urbana,F,21,Soltero/a,Particular,Recursos propios,Semi-presencial,1,7.42,8.98,1,8,82.3,41.0,24.6,2,480.0,4,8.1,0,,,
EST-2023-0033,2022-S1,Administración de Empresas,Pichincha,Rural,F,27,Soltero/a,Fiscal,Recursos propios,Semi-presencial,2,7.88,8.7,1,7,90.9,34.0,24.2,5,575.0,4,2.8,0,,,
EST-2024-0034,2023-S1,Medicina,Pichincha,Urbana,M,20,Soltero/a,Fiscal,Recursos propios,Presencial,5,7.57,7.94,0,6,81.0,0.0,0.5,0,872.0,1,6.6,0,,,
EST-2025-0035,2023-S1,Administración de Empresas,Guayas,Rural,M,22,Casado/a,Fiscal,Recursos propios,Presencial,6,9.59,8.97,3,4,69.2,0.0,10.8,1,579.0,5,7.4,0,,,
EST-2020-0036,2023-S2,Ciencia de Datos,Pichincha,Rural,F,25,Soltero/a,Fiscal,Beca parcial,Presencial,3,8.02,3.55,4,6,57.2,0.0,6.4,4,663.0,4,5.6,1,2024-06-22,Laboral,3.0
EST-2021-0037,2022-S2,Arquitectura,Pichincha,Urbana,F,25,Soltero/a,Fiscal,Recursos propios,Semi-presencial,3,6.53,7.5,0,7,81.9,0.0,7.8,3,569.0,1,,0,,,
EST-2022-0038,2023-S1,Arquitectura,Tungurahua,Rural,F,22,Soltero/a,Particular,Credito educativo,Presencial,5,7.82,8.6,2,5,76.7,35.0,8.6,4,1680.0,0,3.5,0,,,
EST-2023-0039,2023-S2,Psicología,Tungurahua,Rural,M,27,Soltero/a,Fiscal,Beca completa,Presencial,1,7.37,8.05,0,6,57.5,28.0,,0,1029.0,1,7.3,1,2024-08-18,Laboral,1.0
EST-2024-0040,2022-S2,Ciencia de Datos,Loja,Urbana,F,27,Soltero/a,Fiscal,Beca parcial,Presencial,1,8.69,6.0,3,5,83.9,12.0,22.9,2,336.0,2,2.2,0,,,
EST-2025-0041,2022-S1,Administración de Empresas,Pichincha,Urbana,F,18,Soltero/a,Fiscal,Credito educativo,Presencial,5,7.67,,1,4,80.1,0.0,55.5,3,700.0,1,4.0,0,,,
EST-2020-0042,2022-S1,Arquitectura,Imbabura,Urbana,F,26,Casado/a,Fiscal,Beca completa,Presencial,1,8.38,5.64,2,8,59.5,0.0,18.2,0,742.0,3,,0,,,
EST-2021-0043,2022-S1,Psicología,Pichincha,Urbana,F,23,Soltero/a,Fiscal,Beca parcial,Presencial,6,6.9,9.26,1,4,92.5,0.0,4.4,1,637.0,3,9.1,0,,,
EST-2022-0044,2023-S2,Contabilidad,El Oro,Rural,M,22,Soltero/a,Fiscal,Recursos propios,Presencial,1,7.45,10.0,0,7,88.9,0.0,3.3,0,506.0,2,7.0,0,,,
EST-2023-0045,2022-S1,Contabilidad,Esmeraldas,Urbana,F,19,Soltero/a,Particular,Recursos propios,Presencial,5,9.7,,1,6,81.7,0.0,13.6,2,1674.0,0,7.0,0,,,
EST-2024-0046,2022-S1,Administración de Empresas,Loja,Urbana,F,27,Casado/a,Particular,Credito educativo,Semi-presencial,4,7.95,7.49,1,4,62.1,34.0,45.3,2,484.0,1,3.9,1,2024-05-02,Laboral,5.0
EST-2025-0047,2023-S1,Ingeniería Civil,Azuay,Urbana,F,27,Soltero/a,Particular,Recursos propios,Presencial,3,5.56,8.26,2,5,99.2,12.0,0.5,0,598.0,4,7.8,0,,,
EST-2020-0048,2022-S1,Psicología,Guayas,Urbana,M,27,Soltero/a,Particular,Recursos propios,Semi-presencial,5,8.61,6.19,2,5,76.6,29.0,6.5,2,650.0,3,4.7,0,,,
EST-2021-0049,2022-S2,Ingeniería Civil,Tungurahua,Rural,F,21,Soltero/a,Fiscomisional,Credito educativo,Presencial,6,9.05,5.4,0,5,61.7,19.0,14.3,6,384.0,3,6.0,0,,,
EST-2022-0050,2022-S1,Arquitectura,Manabí,Urbana,F,23,Casado/a,Particular,Recursos propios,Presencial,2,9.08,8.58,0,8,88.0,0.0,5.5,2,751.0,2,4.2,0,,,
EST-2023-0051,2023-S2,Derecho,Imbabura,Urbana,M,24,Soltero/a,Fiscal,Beca completa,Presencial,6,8.98,6.89,0,6,60.1,36.0,14.6,3,642.0,2,6.6,1,2024-02-16,Laboral,6.0
EST-2024-0052,2023-S2,Ciencia de Datos,Chimborazo,Rural,M,19,Soltero/a,Fiscal,Recursos propios,Presencial,5,8.56,8.73,0,7,65.2,36.0,47.8,3,390.0,2,7.6,0,,,
EST-2025-0053,2023-S1,Administración de Empresas,Manabí,Rural,F,20,Soltero/a,Particular,Credito educativo,Semi-presencial,1,6.29,5.88,0,7,46.8,0.0,3.1,2,381.0,5,8.7,0,,,
EST-2020-0054,2022-S2,Psicología,Imbabura,Urbana,M,17,Soltero/a,Particular,Recursos propios,Semi-presencial,5,7.43,,1,6,77.0,20.0,,3,675.0,2,,0,,,
EST-2021-0055,2023-S1,Administración de Empresas,Pichincha,Urbana,F,19,Soltero/a,Particular,Beca completa,Presencial,3,8.12,7.99,0,6,74.7,43.0,17.8,1,347.0,4,5.7,0,,,
EST-2022-0056,2023-S1,Ingeniería Civil,Pichincha,Urbana,M,17,Casado/a,Fiscal,Recursos propios,Presencial,1,6.45,7.84,3,7,100.0,27.0,90.1,3,1084.0,1,4.1,1,2024-08-04,Personal,1.0
EST-2023-0057,2023-S1,Administración de Empresas,Pichincha,Urbana,M,19,Casado/a,Particular,Beca parcial,Semi-presencial,6,8.37,5.06,2,8,78.3,0.0,13.6,1,880.0,5,6.7,0,,,
EST-2024-0058,2023-S2,Derecho,Azuay,Urbana,F,22,Soltero/a,Fiscal,Recursos propios,Presencial,6,8.65,8.9,0,4,80.5,0.0,9.1,2,482.0,5,6.8,0,,,
EST-2025-0059,2023-S2,Medicina,Guayas,Urbana,M,22,Union libre,Particular,Credito educativo,Semi-presencial,5,10.0,8.01,1,8,76.6,0.0,2.2,2,298.0,1,3.5,0,,,
EST-2020-0060,2022-S1,Derecho,Tungurahua,Urbana,F,17,Soltero/a,Fiscal,Beca completa,Presencial,6,7.08,5.69,0,5,54.0,32.0,1.5,3,304.0,4,7.7,1,2024-05-04,Economico,7.0
EST-2021-0061,2022-S1,Ingeniería Civil,Guayas,Urbana,M,25,Casado/a,Fiscal,Credito educativo,Presencial,4,7.85,6.73,5,6,73.1,0.0,39.0,4,800.0,1,7.0,1,2024-07-20,Economico,5.0
EST-2022-0062,2023-S1,Arquitectura,Imbabura,Rural,F,27,Soltero/a,Fiscal,Recursos propios,Presencial,4,6.98,,3,5,68.2,14.0,16.1,0,650.0,1,,1,2024-03-18,Laboral,5.0
EST-2023-0063,2022-S2,Arquitectura,Pichincha,Rural,M,19,Soltero/a,Particular,Beca parcial,Presencial,1,6.83,,2,4,73.5,0.0,6.7,0,460.0,2,7.4,0,,,
EST-2024-0064,2022-S1,Derecho,Esmeraldas,Urbana,M,20,Casado/a,Fiscal,Credito educativo,Semi-presencial,1,7.13,7.98,1,6,80.0,0.0,5.1,2,776.0,1,7.0,0,,,
EST-2025-0065,2023-S1,Administración de Empresas,Guayas,Urbana,F,25,Soltero/a,Fiscal,Recursos propios,Semi-presencial,1,9.16,8.72,4,5,82.9,0.0,,0,1145.0,5,6.2,0,,,
EST-2020-0066,2022-S2,Contabilidad,Guayas,Urbana,F,23,Soltero/a,Fiscal,Recursos propios,Presencial,3,6.72,8.19,0,7,75.2,0.0,45.3,0,347.0,2,9.2,0,,,
EST-2021-0067,2022-S1,Ingeniería Civil,Imbabura,Urbana,F,25,Casado/a,Particular,Beca completa,Presencial,6,7.18,4.93,2,8,61.2,31.0,0.5,0,463.0,2,4.6,1,2024-06-04,Academico,7.0
EST-2022-0068,2023-S2,Psicología,Azuay,Rural,M,22,Soltero/a,Fiscal,Credito educativo,Semi-presencial,3,7.73,8.29,0,6,70.1,27.0,19.3,0,1031.0,2,4.3,0,,,
EST-2023-0069,2023-S2,Psicología,El Oro,Rural,F,18,Soltero/a,Fiscal,Beca parcial,Presencial,3,9.24,9.3,2,4,77.0,0.0,0.5,1,630.0,3,7.5,0,,,
EST-2024-0070,2023-S2,Medicina,Guayas,Urbana,M,22,Casado/a,Particular,Beca completa,Presencial,4,10.0,,0,6,74.2,0.0,16.5,2,2557.0,4,7.3,0,,,
EST-2025-0071,2022-S1,Contabilidad,Loja,Urbana,M,18,Union libre,Particular,Credito educativo,Presencial,5,7.27,5.07,2,4,74.4,0.0,41.5,4,401.0,1,8.7,1,2024-04-15,Laboral,5.0
EST-2020-0072,2022-S2,Ingeniería Civil,Guayas,Urbana,M,26,Soltero/a,Fiscal,Beca parcial,Presencial,1,7.98,3.76,2,4,89.2,0.0,14.0,2,1207.0,5,6.2,0,,,
EST-2021-0073,2023-S1,Arquitectura,Tungurahua,Rural,F,23,Soltero/a,Fiscal,Credito educativo,Presencial,6,9.25,7.88,1,5,70.9,29.0,33.4,1,903.0,2,3.7,1,2024-05-20,Economico,6.0
EST-2022-0074,2023-S2,Derecho,Azuay,Urbana,M,25,Soltero/a,Particular,Beca parcial,Presencial,2,8.03,,1,7,66.6,0.0,59.1,2,1301.0,2,7.6,0,,,
EST-2023-0075,2022-S2,Derecho,Guayas,Rural,F,26,Union libre,Particular,Credito educativo,Presencial,6,8.83,7.78,0,4,100.0,0.0,68.9,2,1042.0,1,6.2,0,,,
EST-2024-0076,2023-S1,Psicología,Chimborazo,Rural,M,23,Casado/a,Fiscomisional,Beca completa,Presencial,3,6.8,,2,8,75.8,0.0,7.3,1,718.0,2,7.2,1,2024-05-11,Personal,3.0
EST-2025-0077,2022-S1,Ciencia de Datos,Chimborazo,Rural,M,22,Soltero/a,Particular,Beca parcial,Semi-presencial,1,9.86,5.47,0,7,100.0,36.0,17.9,1,703.0,1,6.0,0,,,
EST-2020-0078,2022-S1,Derecho,Chimborazo,Rural,M,24,Soltero/a,Fiscal,Recursos propios,Presencial,5,7.39,6.51,1,6,71.4,36.0,2.2,0,1072.0,5,6.5,1,2024-07-09,Laboral,6.0
EST-2021-0079,2023-S2,Contabilidad,Manabí,Urbana,F,20,Soltero/a,Fiscal,Credito educativo,Semi-presencial,5,7.64,7.89,1,5,50.1,0.0,73.1,0,473.0,4,7.8,0,,,
EST-2022-0080,2022-S2,Arquitectura,El Oro,Urbana,F,27,Soltero/a,Particular,Beca completa,Presencial,1,8.31,,1,4,77.2,0.0,32.0,5,1049.0,1,,0,,,
EST-2023-0081,2023-S2,Ingeniería Civil,Azuay,Urbana,M,24,Casado/a,Fiscal,Credito educativo,Semi-presencial,1,8.87,6.97,1,5,75.3,31.0,4.0,2,631.0,5,5.4,0,,,
EST-2024-0082,2023-S2,Arquitectura,Pichincha,Rural,F,18,Soltero/a,Particular,Recursos propios,Presencial,1,7.77,6.26,0,8,75.1,0.0,2.5,1,755.0,2,,0,,,
EST-2025-0083,2023-S1,Medicina,Guayas,Urbana,M,21,Casado/a,Particular,Recursos propios,Semi-presencial,2,7.2,9.21,2,6,79.0,0.0,26.2,3,961.0,5,9.8,0,,,
EST-2020-0084,2023-S2,Ciencia de Datos,Guayas,Rural,M,18,Soltero/a,Fiscal,Beca completa,Presencial,4,8.13,6.62,2,8,63.6,0.0,1.0,3,1786.0,2,6.6,0,,,
EST-2021-0085,2023-S2,Psicología,Tungurahua,Urbana,F,23,Soltero/a,Fiscal,Beca completa,Presencial,1,8.68,7.28,0,7,80.2,0.0,7.1,3,1185.0,5,5.6,0,,,
EST-2022-0086,2022-S2,Ciencia de Datos,Chimborazo,Urbana,M,21,Soltero/a,Particular,Beca completa,Semi-presencial,5,7.68,5.72,1,7,100.0,0.0,29.6,0,549.0,4,,0,,,
EST-2023-0087,2023-S2,Ingeniería Civil,Esmeraldas,Urbana,F,21,Soltero/a,Fiscomisional,Credito educativo,Presencial,1,7.18,7.1,3,5,82.5,31.0,5.0,1,621.0,0,6.6,0,,,
EST-2024-0088,2023-S2,Ciencia de Datos,Pichincha,Rural,F,21,Casado/a,Fiscal,Credito educativo,Semi-presencial,6,8.3,6.47,0,7,71.4,40.0,,1,1464.0,1,7.9,1,2024-01-11,Laboral,6.0
EST-2025-0089,2023-S2,Administración de Empresas,El Oro,Urbana,F,26,Casado/a,Fiscal,Beca parcial,Presencial,6,9.15,8.97,1,4,80.2,0.0,7.2,5,778.0,1,6.5,0,,,
EST-2020-0090,2022-S1,Medicina,Pichincha,Urbana,M,25,Soltero/a,Fiscomisional,Recursos propios,Presencial,1,7.43,7.85,1,4,77.8,0.0,0.5,0,318.0,4,4.7,0,,,
EST-2021-0091,2022-S2,Arquitectura,Pichincha,Rural,M,20,Soltero/a,Particular,Recursos propios,Presencial,5,6.22,6.79,3,8,81.3,0.0,10.9,3,769.0,0,4.0,0,,,
EST-2022-0092,2023-S2,Ingeniería Civil,Esmeraldas,Urbana,F,18,Soltero/a,Particular,Recursos propios,Semi-presencial,1,9.16,6.64,3,5,76.3,31.0,39.0,2,395.0,3,3.9,0,,,
EST-2023-0093,2023-S1,Contabilidad,Pichincha,Urbana,F,22,Soltero/a,Fiscal,Recursos propios,Semi-presencial,4,6.91,5.3,1,7,94.1,0.0,36.2,4,659.0,4,9.1,0,,,
EST-2024-0094,2022-S2,Derecho,Pichincha,Urbana,F,21,Soltero/a,Particular,Beca completa,Presencial,3,6.99,6.78,1,4,48.9,0.0,9.2,2,1423.0,4,7.9,0,,,
EST-2025-0095,2023-S1,Administración de Empresas,Tungurahua,Rural,M,25,Soltero/a,Fiscomisional,Beca parcial,Presencial,1,8.57,7.97,0,8,64.8,0.0,16.6,1,806.0,4,7.0,0,,,
EST-2020-0096,2023-S1,Contabilidad,Pichincha,Urbana,M,24,Soltero/a,Fiscal,Credito educativo,Presencial,1,7.54,8.17,2,6,72.5,0.0,9.0,1,1910.0,4,5.1,0,,,
EST-2021-0097,2022-S1,Ciencia de Datos,Chimborazo,Rural,M,27,Soltero/a,Particular,Recursos propios,Presencial,6,7.14,3.74,1,5,54.3,0.0,17.1,1,646.0,5,7.5,0,,,
EST-2022-0098,2022-S2,Contabilidad,Tungurahua,Urbana,F,26,Soltero/a,Particular,Credito educativo,Presencial,6,7.61,8.7,1,8,82.9,41.0,17.8,0,528.0,1,6.4,0,,,
EST-2023-0099,2023-S1,Ingeniería Civil,Manabí,Urbana,M,21,Soltero/a,Fiscal,Recursos propios,Presencial,3,8.73,10.0,2,4,94.6,18.0,2.5,1,627.0,3,7.9,0,,,
EST-2024-0100,2023-S2,Derecho,Azuay,Urbana,F,25,Soltero/a,Particular,Beca parcial,Presencial,3,8.35,8.15,2,4,82.0,0.0,27.9,1,1027.0,3,,0,,,
EST-2025-0101,2022-S1,Derecho,Tungurahua,Rural,M,17,Soltero/a,Fiscomisional,Recursos propios,Presencial,6,7.84,7.61,0,5,56.8,0.0,73.7,0,840.0,3,6.4,1,2024-03-04,Laboral,7.0
EST-2020-0102,2023-S2,Ingeniería Civil,Tungurahua,Urbana,F,18,Soltero/a,Fiscal,Beca completa,Presencial,3,8.31,6.38,1,4,90.0,0.0,42.8,0,808.0,1,6.7,0,,,
EST-2021-0103,2023-S1,Ciencia de Datos,Manabí,Urbana,M,27,Soltero/a,Particular,Beca completa,Presencial,5,7.1,6.87,2,4,87.8,31.0,34.9,2,1047.0,4,6.2,0,,,
EST-2022-0104,2023-S1,Ciencia de Datos,Chimborazo,Urbana,M,17,Casado/a,Particular,Recursos propios,Presencial,3,6.4,8.56,3,8,72.3,0.0,11.6,0,626.0,0,5.3,0,,,
EST-2023-0105,2022-S2,Derecho,Guayas,Urbana,F,23,Soltero/a,Fiscomisional,Recursos propios,Presencial,3,7.67,6.77,1,5,79.3,0.0,17.8,1,1030.0,4,,0,,,
EST-2024-0106,2023-S1,Derecho,Azuay,Urbana,F,24,Union libre,Fiscal,Recursos propios,Presencial,5,7.68,7.01,2,5,82.9,36.0,,2,1105.0,2,7.5,1,2024-08-02,Personal,5.0
EST-2025-0107,2023-S2,Medicina,Guayas,Urbana,M,22,Soltero/a,Fiscal,Beca parcial,Presencial,5,7.62,5.16,1,8,98.6,20.0,19.2,0,453.0,4,5.9,0,,,
EST-2020-0108,2022-S1,Administración de Empresas,Pichincha,Rural,M,19,Casado/a,Particular,Beca parcial,Semi-presencial,4,9.83,7.85,2,4,87.4,21.0,27.9,2,294.0,2,6.2,0,,,
EST-2021-0109,2022-S1,Psicología,Guayas,Urbana,M,27,Soltero/a,Particular,Beca parcial,Semi-presencial,6,6.98,7.9,1,7,82.0,14.0,,3,249.0,0,8.8,0,,,
EST-2022-0110,2022-S2,Arquitectura,Azuay,Urbana,M,27,Soltero/a,Fiscal,Beca parcial,Semi-presencial,4,7.81,8.07,1,8,76.6,42.0,6.4,1,1895.0,3,3.9,1,2024-02-15,Laboral,5.0
EST-2023-0111,2023-S1,Psicología,Guayas,Rural,F,22,Soltero/a,Particular,Recursos propios,Presencial,4,7.45,9.01,1,5,56.0,40.0,37.5,3,621.0,5,6.2,1,2024-01-08,Laboral,5.0
EST-2024-0112,2022-S1,Contabilidad,Azuay,Urbana,F,22,Soltero/a,Particular,Recursos propios,Presencial,2,7.6,7.5,1,5,85.4,41.0,29.7,2,508.0,5,6.2,0,,,
EST-2025-0113,2022-S1,Arquitectura,Guayas,Urbana,M,22,Casado/a,Fiscal,Beca completa,Presencial,6,6.6,4.17,1,6,91.5,0.0,4.2,5,907.0,3,5.1,0,,,
EST-2020-0114,2022-S2,Ciencia de Datos,Azuay,Rural,F,22,Soltero/a,Fiscal,Recursos propios,Semi-presencial,3,7.27,10.0,0,5,65.1,0.0,6.9,2,748.0,5,6.3,0,,,
EST-2021-0115,2023-S1,Administración de Empresas,Pichincha,Rural,M,27,Soltero/a,Fiscomisional,Beca parcial,Presencial,2,7.5,6.83,2,8,100.0,0.0,2.1,5,223.0,3,7.2,0,,,
EST-2022-0116,2023-S1,Arquitectura,Tungurahua,Urbana,M,26,Casado/a,Fiscal,Credito educativo,Presencial,2,8.66,5.16,4,4,92.4,0.0,18.6,0,1747.0,1,3.9,1,2024-08-02,Academico,2.0
EST-2023-0117,2022-S1,Ingeniería Civil,Guayas,Urbana,M,25,Casado/a,Particular,Credito educativo,Presencial,3,7.85,6.14,2,7,85.2,12.0,,2,1163.0,1,6.3,0,,,
EST-2024-0118,2023-S2,Derecho,Pichincha,Urbana,F,17,Casado/a,Fiscal,Beca parcial,Presencial,1,7.24,5.86,1,8,77.1,0.0,27.9,1,421.0,3,4.5,1,2024-04-05,Academico,2.0
EST-2025-0119,2022-S2,Psicología,El Oro,Urbana,F,19,Soltero/a,Fiscal,Beca completa,Presencial,3,7.37,6.24,0,4,91.2,0.0,2.4,1,240.0,2,5.8,0,,,
EST-2020-0120,2022-S2,Administración de Empresas,Pichincha,Urbana,M,23,Casado/a,Fiscal,Recursos propios,Presencial,1,8.71,7.1,2,6,100.0,27.0,19.2,2,643.0,3,6.1,0,,,
EST-2021-0121,2022-S1,Psicología,Pichincha,Urbana,F,27,Soltero/a,Fiscomisional,Credito educativo,Semi-presencial,5,6.75,6.79,1,8,77.7,0.0,19.6,0,664.0,5,6.2,0,,,
EST-2022-0122,2023-S2,Derecho,Pichincha,Urbana,F,17,Union libre,Fiscal,Beca parcial,Presencial,1,7.01,10.0,1,4,69.7,19.0,34.3,1,251.0,0,5.0,0,,,
EST-2023-0123,2022-S2,Psicología,Pichincha,Urbana,M,19,Soltero/a,Fiscal,Recursos propios,Semi-presencial,5,6.98,4.31,3,8,72.2,0.0,7.1,1,555.0,2,6.0,0,,,
EST-2024-0124,2022-S2,Administración de Empresas,Guayas,Rural,F,26,Soltero/a,Fiscal,Credito educativo,Presencial,3,8.9,6.28,2,6,67.0,42.0,5.8,1,659.0,2,5.5,1,2024-08-07,Laboral,3.0
EST-2025-0125,2022-S2,Medicina,Pichincha,Urbana,M,18,Soltero/a,Fiscal,Recursos propios,Presencial,4,8.88,7.03,0,6,87.3,43.0,8.6,3,476.0,0,7.3,0,,,
