tipo_avion,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
T15,2684,1112,2246,2634,1218,1004,2265,1954,2454,1141,2367,1257,1186,1187,2403,2123,1858,1551,2520,1613,2407,1701,1584,1745,1443,2278,1820,1314,2562,1597,1896,2575,2047,1098,2637,2053,1506,1140,2364,2039
T16,2806,1163,2348,2754,1274,1050,2368,2043,2565,1193,2474,1314,1239,1241,2512,2220,1942,1621,2634,1687,2516,1778,1656,1824,1509,2381,1902,1373,2678,1670,1982,2692,2140,1148,2757,2147,1574,1192,2472,2132
T17,2928,1213,2450,2874,1329,1095,2471,2131,2677,1245,2582,1371,1293,1295,2621,2317,2027,1692,2749,1760,2625,1855,1728,1903,1574,2485,1985,1433,2795,1743,2068,2809,2233,1198,2877,2240,1643,1244,2579,2224
T18,3050,1264,2553,2993,1385,1141,2574,2220,2788,1297,2689,1428,1347,1349,2730,2413,2111,1762,2864,1833,2735,1933,1801,1983,1640,2588,2068,1493,2911,1815,2155,2926,2326,1248,2997,2333,1711,1295,2687,2317
T19,3172,1314,2655,3113,1440,1186,2677,2309,2900,1348,2797,1485,1401,1403,2840,2510,2195,1833,2978,1907,2844,2010,1873,2062,1706,2692,2151,1553,3028,1888,2241,3043,2419,1298,3117,2427,1780,1347,2794,2410
T20,3294,1365,2757,3233,1495,1232,2780,2398,3011,1400,2905,1542,1455,1456,2949,2606,2280,1903,3093,1980,2954,2087,1945,2141,1771,2795,2233,1612,3144,1961,2327,3160,2512,1348,3236,2520,1848,1399,2902,2503
T21,3416,1415,2859,3353,1551,1278,2883,2487,3123,1452,3012,1599,1509,1510,3058,2703,2364,1974,3207,2054,3063,2165,2017,2221,1837,2899,2316,1672,3260,2033,2413,3277,2605,1398,3356,2613,1917,1451,3009,2595
T22,3538,1466,2961,3473,1606,1323,2986,2576,3235,1504,3120,1657,1563,1564,3167,2799,2449,2044,3322,2127,3172,2242,2089,2300,1902,3002,2399,1732,3377,2106,2499,3394,2698,1448,3476,2707,1985,1503,3117,2688
T23,3660,1516,3063,3592,1662,1369,3089,2664,3346,1556,3227,1714,1617,1618,3277,2896,2533,2115,3436,2200,3282,2319,2161,2379,1968,3106,2481,1792,3493,2178,2586,3511,2791,1498,3596,2800,2054,1555,3224,2781
T24,3782,1567,3165,3712,1717,1415,3192,2753,3458,1608,3335,1771,1671,1672,3386,2992,2618,2185,3551,2274,3391,2397,2233,2459,2034,3209,2564,1851,3610,2251,2672,3628,2884,1548,3716,2894,2122,1606,3332,2873
T25,3904,1618,3267,3832,1772,1460,3295,2842,3569,1660,3443,1828,1725,1726,3495,3089,2702,2256,3665,2347,3501,2474,2305,2538,2099,3313,2647,1911,3726,2324,2758,3745,2977,1597,3836,2987,2190,1658,3439,2966
