canal_ingreso,tipo_tarjeta,pais_transaccion,categoria_comercio,edad_cliente,antiguedad_meses,saldo_promedio_usd,monto_usd,hora_transaccion,num_transacciones_24h,num_transacciones_7d,distancia_comercio_km,score_velocidad,ratio_monto_promedio,es_fraude,mes_transaccion,anio_transaccion
App_movil,Credito_clasica,Ecuador,Electronica,33,81,558.28,477.36,6,8,45,3.3,52.3,12.591,0,7,2023
POS,Debito,Peru,Supermercado,63,158,322.86,184.0,21,8,5,7.1,88.4,7.038,0,12,2023
App_movil,Debito,Mexico,Restaurante,33,141,3933.69,140.96,7,11,14,7.1,55.2,0.682,0,9,2023
Banca_en_linea,Debito,USA,Restaurante,73,19,2313.9,97.54,23,10,2,16.8,61.6,0.776,0,8,2023
Banca_en_linea,Credito_platinum,Ecuador,Transferencia,37,7,3775.14,72.98,7,14,23,,90.8,0.367,0,5,2023
Cajero_ATM,Credito_clasica,Mexico,Restaurante,46,137,605.89,70.31,18,14,44,24.5,71.5,1.745,0,2,2023
App_movil,Credito_clasica,USA,Restaurante,45,54,2320.58,156.74,14,11,46,17.9,69.6,1.244,0,5,2023
Cajero_ATM,Debito,Ecuador,Gasolinera,25,104,931.38,213.71,15,4,19,2.9,58.6,3.778,0,8,2023
Cajero_ATM,Debito,Ecuador,Ropa,41,86,847.13,175.22,21,6,24,4.0,63.3,3.347,0,10,2023
Banca_en_linea,Credito_clasica,Colombia,Supermercado,20,82,228.98,38.17,22,11,20,6.9,80.4,1.78,0,9,2023
Sucursal,Debito,Ecuador,Otro,42,61,549.13,107.18,8,6,47,0.1,97.9,2.861,0,12,2023
App_movil,Credito_gold,Panama,Transferencia,36,87,1125.01,240.27,11,5,27,,79.5,3.627,0,12,2023
Cajero_ATM,Credito_clasica,Ecuador,Farmacia,50,2,510.73,101.85,15,14,24,0.5,70.8,2.866,0,12,2023
Banca_en_linea,Credito_clasica,Mexico,Ropa,19,178,10846.59,120.38,3,1,17,3.9,13.6,0.218,0,9,2023
App_movil,Credito_clasica,Colombia,Supermercado,32,31,1122.71,226.19,4,3,25,8.4,81.7,3.42,0,1,2023
App_movil,Credito_clasica,Ecuador,Gasolinera,39,33,549.09,167.38,7,7,46,7.3,73.6,4.469,0,9,2023
App_movil,Credito_platinum,Ecuador,Entretenimiento,27,80,754.99,83.98,0,8,31,10.6,77.0,1.759,0,7,2023
Banca_en_linea,Credito_clasica,Colombia,Supermercado,35,11,2415.03,343.66,5,2,28,7.5,23.1,2.628,0,9,2023
App_movil,Debito,USA,Restaurante,39,161,365.47,31.61,14,3,28,2.6,90.3,1.118,0,8,2023
Banca_en_linea,Credito_clasica,USA,Farmacia,63,128,5159.13,816.1,3,4,22,2.2,9.7,3.046,0,1,2023
Sucursal,Debito,Ecuador,Restaurante,66,135,8342.72,23.98,20,14,5,23.8,25.4,0.056,0,12,2023
App_movil,Debito,Ecuador,Otro,44,128,908.39,7.26,10,11,44,3.1,66.3,0.131,0,8,2023
Banca_en_linea,Credito_platinum,Ecuador,Supermercado,30,31,1695.03,336.12,4,5,42,3.3,67.4,3.547,0,8,2023
Banca_en_linea,Credito_gold,Peru,Entretenimiento,50,176,255.96,47.15,17,3,8,,31.3,2.068,0,11,2023
App_movil,Credito_platinum,Ecuador,Electronica,22,126,2759.07,201.23,23,5,38,1.5,70.2,1.36,0,3,2023
Sucursal,Credito_clasica,Ecuador,Viaje,43,47,1535.77,254.91,14,8,28,7.1,38.8,2.937,0,1,2023
App_movil,Credito_clasica,Colombia,Restaurante,30,107,986.98,298.83,17,8,47,10.9,0.0,5.035,0,8,2023
App_movil,Debito,Chile,Electronica,44,19,779.32,721.83,19,14,12,15.4,16.3,14.741,0,3,2023
App_movil,Debito,Ecuador,Transferencia,74,81,2853.46,57.23,12,2,25,12.4,88.3,,0,3,2023
App_movil,Credito_gold,Ecuador,Electronica,31,123,1545.56,190.81,4,6,38,1.6,22.3,2.186,0,1,2023
Banca_en_linea,Credito_clasica,Peru,Gasolinera,41,134,695.09,23.39,0,4,44,6.1,11.3,0.523,0,11,2023
Sucursal,Credito_gold,Colombia,Farmacia,20,107,3120.78,83.34,21,9,15,0.4,68.2,0.502,0,5,2023
Banca_en_linea,Credito_gold,Ecuador,Viaje,64,49,2281.44,287.55,17,10,44,0.2,44.1,,0,10,2023
Banca_en_linea,Debito,Mexico,Electronica,68,73,5091.68,73.75,13,2,41,5.8,79.7,0.279,0,7,2023
POS,Credito_clasica,Panama,Otro,66,50,512.42,139.14,4,8,34,2.9,86.1,3.906,0,10,2023
Cajero_ATM,Credito_gold,Ecuador,Restaurante,47,81,4050.56,110.11,5,1,45,11.5,84.6,0.518,0,9,2023
Cajero_ATM,Debito,Ecuador,Electronica,52,95,2998.44,160.75,23,11,13,,31.3,1.005,0,12,2023
Banca_en_linea,Credito_gold,Ecuador,Viaje,65,12,505.45,546.2,15,6,8,22.6,50.6,15.485,0,7,2023
POS,Credito_clasica,USA,Viaje,31,23,3167.14,13.6,21,11,13,14.3,65.0,0.081,0,9,2023
Cajero_ATM,Debito,Ecuador,Transferencia,29,54,1656.46,132.98,20,11,36,0.5,,1.433,0,8,2023
Cajero_ATM,Credito_clasica,Peru,Otro,45,118,7450.36,303.2,11,14,6,4.6,4.1,0.793,0,12,2023
Cajero_ATM,Credito_platinum,Colombia,Electronica,61,59,581.75,103.49,19,12,38,,,2.648,0,2,2023
Cajero_ATM,Debito,Ecuador,Supermercado,46,164,2773.88,17.27,17,10,32,,1.3,0.116,0,1,2023
Cajero_ATM,Credito_gold,Peru,Supermercado,60,3,1403.09,128.33,1,13,21,1.7,95.1,1.601,1,7,2023
Banca_en_linea,Debito,Chile,Viaje,34,58,8055.64,65.54,22,1,44,1.0,79.7,0.159,0,7,2023
App_movil,Credito_gold,Ecuador,Transferencia,57,57,1201.1,30.25,20,2,44,7.4,19.2,0.432,0,8,2023
Banca_en_linea,Credito_gold,Ecuador,Restaurante,66,145,8387.68,288.61,22,3,49,12.7,28.8,0.672,0,5,2023
Banca_en_linea,Debito,Ecuador,Supermercado,38,167,5993.89,115.6,12,9,7,12.1,98.3,0.373,0,3,2023
Cajero_ATM,Debito,Mexico,Supermercado,74,90,988.09,411.08,16,5,26,6.0,37.4,6.92,0,12,2023
Banca_en_linea,Credito_gold,Chile,Entretenimiento,40,55,4268.26,251.0,16,10,15,7.4,78.4,1.123,0,8,2023
App_movil,Credito_clasica,Ecuador,Restaurante,37,45,13767.77,182.12,15,10,49,7.3,44.7,0.261,0,6,2023
App_movil,Credito_gold,USA,Gasolinera,28,1,928.1,5.76,20,12,42,,86.4,0.102,0,11,2023
Cajero_ATM,Debito,Ecuador,Electronica,74,21,1635.2,88.75,17,2,23,0.5,,0.967,0,3,2023
Banca_en_linea,Credito_gold,Ecuador,Transferencia,74,21,2035.86,38.0,7,10,38,12.4,2.3,0.34,0,1,2023
Banca_en_linea,Credito_gold,Ecuador,Ropa,51,52,1073.65,367.53,2,5,41,8.7,29.4,5.771,0,3,2023
Sucursal,Credito_platinum,Ecuador,Ropa,27,82,238.46,33.78,16,5,15,2.2,55.8,1.541,0,5,2023
App_movil,Debito,Ecuador,Supermercado,27,171,821.57,55.54,17,1,48,0.5,92.6,,0,3,2023
App_movil,Credito_clasica,Colombia,Electronica,60,67,1027.99,114.11,22,3,40,1.1,10.2,1.858,0,1,2023
Banca_en_linea,Credito_clasica,Ecuador,Viaje,23,113,1665.67,50.85,5,5,16,7.4,,0.545,0,5,2023
POS,Credito_clasica,Mexico,Otro,53,44,669.15,40.33,7,9,32,14.2,30.2,0.928,0,10,2023
Cajero_ATM,Credito_clasica,Ecuador,Restaurante,41,160,5363.93,142.11,22,10,37,4.1,88.9,0.511,0,7,2023
Cajero_ATM,Debito,Ecuador,Supermercado,29,10,3251.2,18.97,12,1,18,,76.5,0.11,0,7,2023
Banca_en_linea,Credito_gold,Ecuador,Supermercado,60,64,422.63,13.99,7,8,20,27.2,37.0,,0,11,2023
Cajero_ATM,Credito_clasica,Peru,Gasolinera,72,69,2825.22,74.84,18,1,46,2.4,16.7,0.495,1,9,2023
POS,Debito,Ecuador,Entretenimiento,40,68,2850.81,196.3,5,9,2,1.1,1.1,1.287,0,10,2023
Sucursal,Credito_gold,Ecuador,Supermercado,44,28,8021.51,126.39,22,6,23,4.2,62.1,0.307,0,10,2023
Banca_en_linea,Credito_clasica,Chile,Electronica,74,116,207.56,87.45,14,1,30,13.7,40.6,4.291,0,12,2023
App_movil,Debito,Ecuador,Gasolinera,62,51,912.32,130.12,9,8,3,9.8,,2.34,1,3,2023
POS,Credito_platinum,Ecuador,Supermercado,54,4,6770.49,73.23,16,5,46,5.4,98.6,0.21,0,7,2023
Sucursal,Credito_platinum,Panama,Electronica,23,79,6925.55,417.67,0,7,39,33.5,46.6,1.172,0,1,2023
App_movil,Credito_clasica,Ecuador,Restaurante,18,17,3387.66,13.47,6,7,47,13.3,75.0,,0,4,2023
POS,Debito,Ecuador,Gasolinera,23,108,3828.56,172.85,12,7,49,0.6,17.7,0.858,0,4,2023
POS,Credito_gold,Ecuador,Viaje,67,74,439.85,337.85,2,6,1,,1.3,10.56,0,5,2023
App_movil,Credito_clasica,Ecuador,Farmacia,39,175,2003.23,249.36,18,11,41,,,2.264,0,7,2023
Cajero_ATM,Debito,Ecuador,Supermercado,58,23,858.56,35.51,14,8,22,10.5,66.6,0.671,0,7,2023
Banca_en_linea,Credito_clasica,Ecuador,Otro,41,18,699.84,57.63,4,9,29,2.4,50.7,1.281,0,11,2023
Sucursal,Credito_clasica,Ecuador,Ropa,42,129,4355.82,194.37,10,12,14,11.9,89.0,0.853,0,4,2023
Banca_en_linea,Credito_clasica,Ecuador,Entretenimiento,32,35,562.67,18.21,21,2,48,,43.4,0.478,0,7,2023
Sucursal,Credito_clasica,USA,Supermercado,43,64,1780.84,255.59,17,7,28,20.6,31.1,2.581,0,11,2023
Cajero_ATM,Credito_clasica,Ecuador,Supermercado,25,59,7174.98,195.36,2,2,21,4.1,91.6,0.53,1,3,2023
Cajero_ATM,Credito_platinum,Ecuador,Supermercado,68,1,713.97,201.18,5,6,45,9.7,40.7,4.402,0,6,2023
Banca_en_linea,Credito_clasica,Mexico,Restaurante,41,131,9741.03,20.84,2,2,32,3.4,27.0,0.042,0,12,2023
Cajero_ATM,Credito_gold,Peru,Gasolinera,65,67,13112.96,194.75,4,10,6,24.9,9.8,0.293,0,2,2023
POS,Credito_gold,Ecuador,Otro,55,37,2227.67,175.83,8,6,1,15.2,79.3,1.449,0,10,2023
Sucursal,Credito_clasica,Chile,Electronica,23,29,666.25,271.61,18,2,21,2.8,82.5,6.271,0,9,2023
Sucursal,Credito_clasica,Ecuador,Restaurante,71,89,1149.88,11.37,12,1,4,,3.3,0.168,0,5,2023
App_movil,Credito_clasica,Ecuador,Farmacia,52,161,1581.26,8.51,5,7,3,,35.9,0.096,0,6,2023
Banca_en_linea,Credito_clasica,USA,Supermercado,59,100,1125.21,75.02,10,3,49,10.6,75.0,1.132,0,12,2023
App_movil,Credito_gold,Ecuador,Ropa,18,122,1023.47,29.16,20,14,30,13.6,94.6,0.477,0,12,2023
App_movil,Credito_clasica,Ecuador,Farmacia,63,90,9159.47,127.6,20,12,31,,37.8,0.273,0,12,2023
App_movil,Credito_platinum,Ecuador,Entretenimiento,53,132,616.21,378.97,13,14,34,31.9,87.2,9.286,0,12,2023
Banca_en_linea,Debito,Ecuador,Otro,29,14,3504.34,79.51,5,13,19,4.2,39.4,0.429,0,4,2023
App_movil,Debito,Ecuador,Restaurante,55,161,201.03,284.6,5,4,20,2.1,17.9,14.193,0,11,2023
Banca_en_linea,Credito_clasica,Mexico,Electronica,28,150,2466.98,5.04,16,13,23,19.0,0.3,0.038,0,10,2023
POS,Debito,Ecuador,Transferencia,29,176,6390.65,32.68,10,6,40,12.1,33.0,0.099,0,7,2023
Sucursal,Debito,Mexico,Entretenimiento,59,131,1048.96,9.63,14,5,25,0.9,37.8,0.154,0,12,2023
Banca_en_linea,Debito,Colombia,Electronica,67,85,713.03,64.66,8,4,15,1.2,94.5,1.416,0,9,2023
App_movil,Debito,Panama,Otro,56,151,2836.58,363.2,20,9,38,12.6,,2.392,0,7,2023
App_movil,Debito,Peru,Supermercado,24,21,3317.21,20.3,16,6,23,0.8,,0.115,0,1,2023
Cajero_ATM,Credito_platinum,Peru,Otro,28,171,3112.12,144.87,23,6,2,24.9,2.5,0.875,0,1,2023
Sucursal,Debito,Ecuador,Supermercado,53,26,1161.65,95.08,6,2,15,13.5,76.4,1.397,0,9,2023
Sucursal,Credito_gold,Ecuador,Farmacia,69,41,926.56,423.23,6,6,44,4.1,,7.514,0,11,2023
Banca_en_linea,Credito_gold,Ecuador,Transferencia,48,122,8004.3,24.61,20,7,35,4.5,23.8,0.06,0,9,2023
Banca_en_linea,Credito_platinum,Panama,Restaurante,50,38,6619.62,40.74,0,8,10,7.1,42.9,0.119,0,4,2023
Banca_en_linea,Debito,Panama,Electronica,30,88,1728.07,9.5,7,14,14,,12.2,0.099,0,9,2023
Banca_en_linea,Credito_gold,Ecuador,Gasolinera,35,11,4880.16,90.36,4,8,27,15.3,45.7,0.356,0,3,2023
Cajero_ATM,Credito_clasica,Ecuador,Otro,58,29,1705.18,53.82,18,9,14,,13.3,0.565,0,7,2023
Sucursal,Credito_clasica,Ecuador,Entretenimiento,73,60,1580.81,310.92,7,10,35,8.8,52.3,3.492,0,6,2023
Cajero_ATM,Credito_clasica,Colombia,Viaje,41,61,626.27,144.31,16,11,33,5.9,73.5,3.493,1,8,2023
Banca_en_linea,Credito_gold,Ecuador,Farmacia,26,147,1589.58,147.82,18,13,1,2.5,55.3,,0,11,2023
POS,Debito,USA,Entretenimiento,48,174,2127.32,118.86,11,12,34,10.6,24.5,1.021,0,9,2023
App_movil,Credito_gold,Argentina,Gasolinera,72,177,256.9,19.45,22,3,19,11.6,,0.851,0,5,2023
Banca_en_linea,Credito_clasica,Ecuador,Electronica,58,22,1667.98,93.32,14,10,24,11.6,63.9,0.999,0,1,2023
Banca_en_linea,Credito_gold,Ecuador,Viaje,27,78,4000.78,1146.7,3,7,42,0.3,59.0,5.459,0,3,2023
Cajero_ATM,Credito_platinum,Ecuador,Gasolinera,19,113,3048.95,275.48,22,7,4,,13.7,1.696,0,10,2023
App_movil,Debito,Ecuador,Supermercado,55,123,2720.72,340.88,11,1,36,4.1,84.5,2.334,0,12,2023
Cajero_ATM,Credito_platinum,Ecuador,Supermercado,32,142,6207.55,264.93,12,8,13,13.6,47.5,0.827,0,8,2023
App_movil,Debito,Ecuador,Supermercado,20,44,245.49,21.31,13,4,32,,16.2,0.957,0,11,2023
POS,Debito,Mexico,Transferencia,60,144,2235.73,43.71,4,5,9,,12.3,0.359,0,6,2023
Cajero_ATM,Debito,Ecuador,Electronica,48,97,4070.26,5.47,21,14,39,5.0,96.6,0.026,0,8,2023
Sucursal,Debito,Ecuador,Viaje,23,77,2148.59,59.26,15,6,16,9.4,28.2,0.505,0,9,2023
POS,Credito_clasica,Mexico,Gasolinera,20,140,1178.52,22.25,6,3,3,,90.9,0.323,0,4,2023
Cajero_ATM,Debito,USA,Restaurante,73,55,566.18,101.02,14,5,20,14.4,41.1,2.637,0,1,2023
Sucursal,Debito,Ecuador,Gasolinera,28,51,5663.41,174.57,12,10,10,1.0,38.6,0.595,0,1,2023
App_movil,Credito_platinum,Colombia,Entretenimiento,32,102,1790.79,316.32,15,5,22,5.1,70.1,,0,10,2023
POS,Credito_gold,Ecuador,Ropa,62,167,5461.7,212.48,11,1,48,1.1,,0.751,0,4,2023
App_movil,Credito_gold,USA,Otro,69,161,2403.83,423.52,6,3,3,,33.8,3.253,0,12,2023
App_movil,Credito_gold,Peru,Ropa,45,161,3003.62,13.31,15,3,11,,30.3,0.083,0,7,2023
App_movil,Credito_gold,Peru,Farmacia,27,29,4277.43,6.84,22,1,25,11.7,86.8,0.031,1,2,2023
Sucursal,Debito,Ecuador,Ropa,55,69,2890.82,167.41,22,13,42,11.5,52.9,1.083,0,3,2023
App_movil,Credito_clasica,USA,Otro,64,159,1468.97,56.24,12,7,48,18.4,36.5,0.674,0,1,2023
App_movil,Credito_gold,Ecuador,Entretenimiento,74,80,2001.98,48.85,22,1,8,1.4,26.6,0.444,0,5,2023
Sucursal,Debito,Ecuador,Supermercado,67,31,4261.96,65.27,2,7,9,10.8,59.1,0.293,0,1,2023
Banca_en_linea,Credito_gold,Ecuador,Farmacia,67,112,1369.62,52.16,14,4,15,8.6,15.2,0.665,0,8,2023
Cajero_ATM,Debito,Ecuador,Viaje,24,46,1428.05,112.44,2,9,32,0.3,24.6,1.381,0,1,2023
Cajero_ATM,Debito,Ecuador,Viaje,32,97,451.46,92.01,6,7,3,2.2,29.4,2.825,0,11,2023
Banca_en_linea,Credito_clasica,Panama,Restaurante,35,52,6350.57,112.75,17,5,4,,60.8,0.344,0,1,2023
Banca_en_linea,Credito_clasica,Chile,Transferencia,35,138,438.63,172.54,13,7,30,0.8,37.3,5.403,0,2,2023
